@id,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,branch,name,opening_hours,operator,shop,website,wheelchair,lon,lat,brand,name:de,phone,level,email,internet_access,internet_access:fee,outdoor_seating,payment:cash,payment:contactless,payment:credit_cards,takeaway,diet:vegetarian,toilets:wheelchair,cuisine,opening_hours:signed,alt_name,name:zh,check_date:opening_hours,indoor_seating,addr:country,name:en,name:fr
node/3508181136,Luzern,2,6004,Schwanenplatz,,Luzern Schwanenplatz,Bäckerei Hug,Mo-We 06:30-19:00; Th 06:30-21:00; Fr 06:30-19:00; Sa 06:30-16:00; Su 08:00-17:00,Hug Retail,bakery,https://www.baeckerei-hug.ch/filialen/standorte/luzern-schwanenplatz/,,8.3084423,47.0529523,Hug,,,,,,,,,,,,,,,,Hug Schwanenplatz,,,,,,
node/3510740174,,,,,,,P. Müller,Mo-Fr 06:15-18:30; Sa 06:15-16:00,,bakery,,,8.308578,47.0614408,,,,,,,,,,,,,,,,,,,,,,,
node/3618126897,Luzern,14,6002,Pilatusstrasse,,Luzern Kantonalbank,Bachmann,"Mo-We,Fr 06:30-19:00; Th 06:30-20:00; Sa 07:00-17:30",Confiseur Bachmann,bakery,https://www.confiserie.ch/de/kantonalbank,,8.3064084,47.0492352,Bachmann,,,,,,,,,,,,,,,,,,,,,,
node/3683619193,Luzern,,6003,Bundesstrasse,,,Bäckerei - Conditorei Bebie,Mo-Fr 06:00-18:30; Sa 05:00-16:00; Su 05:00-14:00,Bebie,bakery,,,8.3050587,47.0443042,,,,,,,,,,,,,,,,,,,,,,,
node/3699596678,,19,,Pilatusstrasse,,,Hänggi,"Mo-Th 06:30-18:30; Fr 06:30-18:30,23:30-24:00; Sa 00:00-14:00,23:00-24:00; Su 00:00-06:00",,bakery,,no,8.3060936,47.0485625,,,,0,,,,,,,,,,,,,,,,,,,
node/3903611607,,,,,,,Bäckerei Macchi Schappe,,,bakery,,,8.2731279,47.0342057,,,,,,,,,,,,,,,,,,,,,,,
node/3903613595,,,,,,,Bäckerei Hänggi,Mo-Fr 06:00-18:30; Sa 06:00-16:00; Su 07:00-12:00,,bakery,https://www.bkh.ch/,,8.2797742,47.0334295,,,,,,,,no,,,,,,,,,,,2022-09-18,yes,,,
node/3904183851,,,,,,,Bäckerei Koch,Mo-Fr 06:00-18:30; Sa 07:00-16:00; Su 07:30-17:00,,bakery,http://www.ofenfrischebrote.ch/Kriens.htm,,8.2909381,47.0367117,,,,,,,,,,,,,,,,,,,,,,,
node/4003553190,,85,6003,Obergrundstrasse,,,Emma's Bäckerei,Tu-Fr 06:00-18:00; Sa 07:30-13:00; Su 08:00-13:00; Mo 06:00-12:00,,bakery,https://www.emmas.ch,,8.3038464,47.0429195,,,,,,,,,,,,,,,,,,,,,,,
node/4004257614,,,,,,,Feinbäckerei Moos,Mo-Fr 06:00-18:30; Sa 06:30-16:00,,bakery,,no,8.3033415,47.0451012,,,,,,,,,,,,,,,,,,,2022-01-29,,,,
node/4119726843,Luzern,17,6004,Rössligasse,,Luzern Rössligasse,Bachmann,,Confiseur Bachmann,bakery,https://www.confiserie.ch/de/rossligasse,,8.3041845,47.0520692,Bachmann,,,,,,,,,,,,,,,,,,,,CH,,
node/4228812691,,,,,,,Harry's Bäckerei,,,bakery,,,8.3023767,47.0507252,,,,,,,,,,,,,,,,,,,,,,,
node/4307281891,,11,,zürichstrasse,,,Cafė bäckerei Habermacher,,,bakery,,yes,8.3419203,47.0824059,,,,,,,,,,,,,,,,,,,,,,,
node/4359099901,,,,,,,Moos,"Mo-Fr 6:30-18:30, Sa 6:30-16:00",,bakery,http://www.beck-moos.ch/,,8.3037943,47.0513738,,,+41 41 410 33 24,,,,,,,,,,,,,,,,,,,,
node/4560113906,,,,,,,Mlinar Caffe,"Mo-Fr 07:00-22:00; Sa, Su 07:30-22:00",,bakery,https://www.mlinar.ch/,,8.2817778,47.0706821,,,+41 41 260 75 30,,,,,,,,,,,,,,,,,,,,
node/4592623890,Luzern,5,6004,Zürichstrasse,,Luzern Löwencenter,Bäckerei Hug,,Hug Retail,bakery,https://filialen.baeckerei-hug.ch/filialen,yes,8.3103145,47.0563538,Hug,,,,,,,,,,,,,,,,Hug Löwencenter,,,,,,
node/4607970089,,65,,Maihofstrasse,,,Macchi,Mo-Fr 06:30-18:30; Sa 06:30-12:00,,bakery,,,8.3114882,47.0654923,,Macchi,,,,,,,,,,,,,,,,,,,,Macchi,Macchi
node/4786751723,Luzern,2,6006,Mettenwylstrasse,,,Kreyenbühl,"Mo-Fr 14:30-18:30,07:30-12:15; Sa 07:30-12:15; Su 08:00-12:00",,bakery,,,8.3153943,47.0605094,,Kreyenbühl,,,,,,,,,,,,,,,,,,,,Kreyenbühl,Kreyenbühl
node/5537626523,,,,,,,Äss-Bar,Tu-Fr 08:00-18:30; Sa 08:00-16:00,,bakery,,,8.3126771,47.054941,,,,,,,,,,,,,,,,,,,,,,,
node/5547062833,,,,,,,Emma's,,,bakery,https://www.emmas.ch/,,8.2732148,47.0629849,,,,,,,,,,,,,,,,,,,,,,,
node/5602979350,,,,,,,Kreyenbühl,,,bakery,,,8.3449933,47.0548955,,,,,,,,,,,,,,,,,,,,,,,
node/5903555980,Adligenswil,2,6043,Dorfstrasse,,,Bäckerei Brunner,,,bakery,https://www.beck-brunner.ch/adligenswil,,8.3642797,47.071336,,,+41 41 370 13 25,,,,,,,,,,,,,,,,,,,,
node/6183396404,,,,,,,Koch,Mo-Fr 06:00-18:00; Sa 07:00-12:00,,bakery,,no,8.2914779,47.0315109,,,,,,,,,,,,,,,,,,,,,,,
node/7075335385,Kriens,6,6010,Am Mattenhof,,Kriens Mattenhof,Bäckerei Hug,"Mo-Fr 06:00-19:00; Sa,Su 07:00-17:00",Hug Retail,bakery,https://www.baeckerei-hug.ch/filialen/standorte/kriens-mattenhof/,yes,8.3014257,47.0272348,Hug,,,,,,,,,,,,,,,,Hug Mattenhof,,,,,,
node/7124768632,Ebikon,21,6030,Luzernerstrasse,,,Brunner,"Mo-Fr 06:15-18:30, Sa 06:15-16:00, Su 07:00 - 12:00",,bakery,,,8.3337137,47.0770773,,,,,,,,,,,,,,,,,,,,,,,
node/7450663141,,,,,cafe,Kriens Pilatusmarkt,Bachmann,,Confiseur Bachmann,bakery,https://www.confiserie.ch/de/pilatusmarkt-eg,,8.2997662,47.0179227,Bachmann,,,,,,,,,,,,yes,,,,,,,,,,
node/7555982454,Emmenbrücke,1,6020,Stauffacherstrasse,,Emmen Center,Brezelkönig,,Valora,bakery,https://brezelkoenig.ch/de/,,8.2869659,47.073951,Brezelkönig,,,0,,,,,,,,,,,,,,,,,,,
node/9720574329,Luzern,62a,6005,Tribschenstrasse,,,Macchi,"Mo-Fr 06:45-18:30, Sa 06:45-14:00",Bäckerei Macchi,bakery,https://www.macchi-baeckerei.ch/,,8.3164727,47.0424728,,,,,,,,,,,,,,,,,,,,,,,
